"id";"COD. INSCRIPCION";"NOMBRE";"MODALIDAD";"CATEGORIA";"DIRECCION";"LOCALIDAD";"MUNICIPIO";"ZONA";"PLAZAS";"FECHA DE INSCRIPCION"
"1";"UHSR0972";"18 de Abril";"Hostal";"HsRural";"Rúa Mirapiés 11 ";"OLITE";"OLITE / ERRIBERRI ";"Zona Media";"16";"07/06/2022 0:00:00"
"2";"UAT01423";"20 Pasos";"Apartamento Turístico";"Primera/3 Llaves";"Muro 5 1ºC";"TUDELA";"TUDELA  ";"La Ribera";"2";"11/05/2023 0:00:00"
"3";"UAT00859";"4U  Tudela Catedral 2B";"Apartamento Turístico";"Tercera/1 Llave";"Portal  18 2ºB";"TUDELA";"TUDELA  ";"La Ribera";"6";"21/11/2018 0:00:00"
"4";"UAT00860";"4U Tudela Catedral 1 B";"Apartamento Turístico";"Primera/3 Llaves";"Portal  18 1º B ";"TUDELA";"TUDELA  ";"La Ribera";"3";"21/11/2018 0:00:00"
"5";"UAT00858";"4U Tudela Catedral 2A";"Apartamento Turístico";"Tercera/1 Llave";"Portal 18 2ºA";"TUDELA";"TUDELA  ";"La Ribera";"4";"21/11/2018 0:00:00"
"6";"UAT00857";"4U Tudela Catedral 3A";"Apartamento Turístico";"Primera/3 Llaves";"Portal  18 3ºA";"TUDELA";"TUDELA  ";"La Ribera";"4";"21/11/2018 0:00:00"
"7";"UAT00877";"4U Tudela Centro 2B";"Apartamento Turístico";"Tercera/1 Llave";"Capuchinos 1 ";"TUDELA";"TUDELA  ";"La Ribera";"3";"23/04/2019 0:00:00"
"8";"UAT00876";"4U Tudela Centro 3B";"Apartamento Turístico";"Tercera/1 Llave";"Capuchinos 1 ";"TUDELA";"TUDELA  ";"La Ribera";"3";"23/04/2019 0:00:00"
"9";"UAT00879";"4U Tudela Centro 5A";"Apartamento Turístico";"Tercera/1 Llave";"Capuchinos 1 ";"TUDELA";"TUDELA  ";"La Ribera";"4";"23/04/2019 0:00:00"
"10";"UAT00878";"4UTudela Centro 4B";"Apartamento Turístico";"Tercera/1 Llave";"Capuchinos 1 ";"TUDELA";"TUDELA  ";"La Ribera";"3";"23/04/2019 0:00:00"
"11";"UCR01107";"643 Km";"Casa rural habitaciones";"CRH 1 Estrella";"Rebote 3 ";"VILLATUERTA";"VILLATUERTA ";"Zona Media";"9";"27/07/2017 0:00:00"
"12";"UAT00659";"A City Beauty";"Apartamento Turístico";"Segunda/2 Llaves";"Nueva 27 2º";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"4";"28/09/2017 0:00:00"
"13";"UAT00973";"A dos pasos del Hospital";"Apartamento Turístico";"Segunda/2 Llaves";"Rafael Alberti 1 5º C";"BARAÑÁIN";"BARAÑÁIN / BARAÑAIN ";"Cuenca de Pamplona";"2";"12/11/2019 0:00:00"
"14";"UH000678";"A Pamplona";"Hotel";"2 Estrellas";"Sancho Ramirez 15 ";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"24";"19/02/1997 0:00:00"
"15";"UCR00781";"Abad Etxe";"Casa rural vivienda";"CRV 2 Estrellas";"Mayor 21  ";"ORÍSOAIN";"ORÍSOAIN  ";"Zona Media";"8";"07/03/2007 0:00:00"
"16";"UAT01360";"Abadía M";"Apartamento Turístico";"Segunda/2 Llaves";"Abadía 7 1º";"CORELLA";"CORELLA ";"La Ribera";"3";"03/12/2022 0:00:00"
"17";"UAT01361";"Abadía T";"Apartamento Turístico";"Segunda/2 Llaves";"Abadía 7 bajo A";"CORELLA";"CORELLA ";"La Ribera";"2";"03/12/2022 0:00:00"
"18";"UATR0198";"Abarra I";"Apartamento Turístico";"Segunda/2 Llaves";"San Antón 52 ";"EGIARRETA";"ARAKIL  ";"Pirineos";"4";"08/02/2011 0:00:00"
"19";"UATR0198(BIS)";"Abarra II";"Apartamento Turístico";"Segunda/2 Llaves";"San Antón 52 ";"EGIARRETA";"ARAKIL  ";"Pirineos";"2";"08/02/2011 0:00:00"
"20";"UATR0198(BIS I)";"Abarra III";"Apartamento Turístico";"Segunda/2 Llaves";"San Antón 52 ";"EGIARRETA";"ARAKIL  ";"Pirineos";"2";"08/02/2011 0:00:00"
"21";"UATR0198(BISII)";"Abarra IV";"Apartamento Turístico";"Segunda/2 Llaves";"San Antón 52 ";"EGIARRETA";"ARAKIL  ";"Pirineos";"2";"12/02/2013 0:00:00"
"22";"UAB00082";"Abarun";"Albergue turístico";"2ª Categoria";"Aurtitz Calle Baja 18 Aurtizko Ostatu";"ITUREN";"ITUREN  ";"Pirineos";"39";"17/07/2014 0:00:00"
"23";"UATR0313";"Abodi";"Apartamento Turístico Rural";"Segunda/2 Llaves";"San José 6 1º Izda";"IZALZU";"IZALZU / ITZALTZU ";"Pirineos";"4";"10/06/2014 0:00:00"
"24";"UHS00856";"Abodi II";"Hostal";"HsG";"Sancho Ramírez 31 Esc. Dcha 1ºC";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"8";"08/02/2010 0:00:00"
"25";"UAT01001";"Ábside de San Juan I";"Apartamento Turístico";"Tercera/1 Llave";"Comercio 9 1º";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA ";"Zona Media";"5";"25/02/2020 0:00:00"
"26";"UAT01002";"Ábside de San Juan II";"Apartamento Turístico";"Tercera/1 Llave";"Comercio 9 2º";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA ";"Zona Media";"5";"25/02/2020 0:00:00"
"27";"UAT01003";"Ábside de San Juan III";"Apartamento Turístico";"Tercera/1 Llave";"Comercio 9 3º";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA ";"Zona Media";"3";"25/02/2020 0:00:00"
"28";"UAT01032";"Abuela Pilar";"Apartamento Turístico";"Segunda/2 Llaves";"Pablo Rada 14 bajo";"CAPARROSO";"CAPARROSO ";"La Ribera";"3";"18/06/2020 0:00:00"
"29";"UH000503";"AC Ciudad de Pamplona";"Hotel";"4 Estrellas";"Iturrama 21 ";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"178";"30/12/1978 0:00:00"
"30";"uh000737";"AC Ciudad de Tudela";"Hotel";"4 Estrellas";"Misericordia, s/n 0 ";"TUDELA";"TUDELA  ";"La Ribera";"84";"21/11/2001 0:00:00"
"31";"UAB00099";"Acá y Allá";"Albergue turístico";"del Camino de Santiago";"San Miguel 18 ";"URDAITZ/URDÁNIZ";"ESTERIBAR ";"Pirineos";"10";"09/04/2015 0:00:00"
"32";"UAT01196";"Acá y Allá";"Apartamento Turístico";"Primera/3 Llaves";"Alfonso el Batallador 2 1ºA";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"7";"10/12/2021 0:00:00"
"33";"UCT00021";"Acedo";"Camping";"4 estrellas";"Acedo-Los Arcos s/n 0 ";"ACEDO";"MENDAZA ";"Zona Media";"1400";"03/07/1996 0:00:00"
"34";"UAT00164";"Acedo";"Apartamento Turístico Rural";"Segunda/2 Llaves";"Carretera 20 ";"ACEDO";"MENDAZA ";"Zona Media";"4";"17/02/2010 0:00:00"
"35";"UHS00758";"Acella 4";"Hostal";"HsG";"Pintor Paret 2 2º E";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"16";"07/05/2003 0:00:00"
"36";"UPE00655";"Acella II";"Pensión";"P**";"Acella 3 6º A";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"7";"17/01/1996 0:00:00"
"37";"UPE00698";"Acella III";"Pensión";"P*";"Acella 3 6º B";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"6";"25/11/1998 0:00:00"
"38";"ucr00657";"Aciri";"Casa rural habitaciones";"CRH 2 Estrellas";"Sor Josefa Barber 14 ";"EZCÁROZ";"EZCÁROZ / EZKAROZE  ";"Pirineos";"4";"17/08/2004 0:00:00"
"39";"UCR00814";"Aciri II";"Casa rural vivienda";"CRV 1 Estrella";"Valencia s/n 0 ";"EZCÁROZ";"EZCÁROZ / EZKAROZE  ";"Pirineos";"2";"13/08/2007 0:00:00"
"40";"UCR00647";"Adi";"Casa rural vivienda";"CRV 2 Estrellas";"San Pedro 21 ";"BIZKARRETA-GERENDIAIN";"ERRO  ";"Pirineos";"6";"10/06/2004 0:00:00"
"41";"UCR01086";"Adipe";"Casa rural vivienda";"CRV 1 Estrella";"San Bartolone 5 ";"ZILBETI";"ERRO  ";"Pirineos";"10";"22/03/2017 0:00:00"
"42";"UCR00769";"Agerrebereko Borda I";"Casa rural vivienda";"CRV 2 Estrellas";"Lurriztiederra 0 ";"ETXALAR";"ETXALAR ";"Pirineos";"6";"15/12/2006 0:00:00"
"43";"UCR00770";"Agerrebereko Borda II";"Casa rural vivienda";"CRV 2 Estrellas";"Lurriztiederra 0 ";"ETXALAR";"ETXALAR ";"Pirineos";"6";"15/12/2006 0:00:00"
"44";"UAB00117";"Ágora Hostel";"Albergue turístico";"2ª del Camino de Santiago";"Callizo Pelaires 3 ";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA ";"Zona Media";"29";"24/04/2017 0:00:00"
"45";"UH000786";"Agorreta";"Hotel";"3 Estrellas";"Ziriota 3 ";"SALINAS DE PAMPLONA";"GALAR ";"Cuenca de Pamplona";"47";"20/09/2005 0:00:00"
"46";"UATR1144";"Agotxenea";"Apartamento Turístico Rural";"Segunda/2 Llaves";"Mayor 21 Casa Agotxenea";"AMAIUR/MAYA";"BAZTAN  ";"Pirineos";"2";"28/06/2021 0:00:00"
"47";"UAB00128";"Agotzenea";"Albergue turístico";"2ª Categoria";"Zubiri Usetxi Km. 1 0 ";"ZUBIRI";"ESTERIBAR ";"Pirineos";"32";"25/06/2020 0:00:00"
"48";"UATR0228(CEREAL)";"Agrovillaujue Cereal";"Apartamento Turístico Rural";"Primera/3 Llaves";"San Isidro 32 planta baja";"UJUÉ";"UJUÉ / UXUE ";"Zona Media";"2";"26/04/2012 0:00:00"
