"id";"CIF/NIF/NIE";"No Identificacion RII";"Titular";"Denominacion/Rotulo del establecimiento";"Direccion";"Municipio";"Localidad";"Provincia";"CP";"Telefono";"Email";"Fax";"URL";"Actividad Principal";"Descripcion Actividad Principal";"Actividades Secundarias";"Descripcion Actividades Secundarias"
"1";"G31830417";"15-A-251-00060003";"FUNDACION ELKARTE";"FUNDACION ELKARTE";"AVENIDA SAN JORGE 42  ";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31012";"948250599";"administracion@elkarte.org";"948989967";;"25.11";"Fabricación de estructuras metálicas y sus componentes";;
"2";"Y1444153C";"15-A-452-00060005";"MATEI  CORNEL IONEL";"TALLER VK IRATI";"Polígono Industrial C/C Nº 19";"AOIZ/AGOITZ";"Aoiz/Agoitz";"Navarra";"31430";"948336790";"talleresvk_irati@yahoo.com";;;"45.2";"Mantenimiento y reparación de vehículos de motor";;
"3";"B71003370";"15-A-473-00051614";"BIDASOA GASOLINDEGIAK SL";"BIDASOA GASOLINDEGIAK SLU";"PG ALKAIAGA, CL ZIOBI 6";"LESAKA";"Lesaka";"Navarra";"31770";"948625663";"nbidasoa@gmail.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4";"B71061188";"15-A-109-00060009";"COPOS ULZAMA SL";"COPOS ULZAMA S.L.";"PG IND ELORDI Nº 20";"ULTZAMA";"Iraizotz";"Navarra";"31797";;;;;"10.91";"Fabricación de productos para la alimentación de animales de granja";;
"5";"B71195788";"15-A-452-00060007";"BIDASOA-IRUÑA GURPILAK SL";"BIDASOA-IRUÑA GURPILAK SL";"PG ALKAIGA CL ZIOBI 6";"LESAKA";"Lesaka";"Navarra";"31770";"948625663";"nbidasoa@gmail.com";;;"45.2";"Mantenimiento y reparación de vehículos de motor";;
"6";"B71090252";"15-A-108-00060012";"SALSAS TRADICIONALES Y NATURALES SL";"SALSAS TRADICIONALES Y NATURALES, S.L.";"POL. IND. LA SERNA - C/ C - NAVE 6.28 ";"TUDELA";"Tudela";"Navarra";"31500";"683393349";"NOTIENE@NO.ES";;;"10.84";"Elaboración de especias, salsas y condimentos";;
"7";"B31793896";"15-A-022-00053070";"ALUZ SL";"ECOFUEGO";"Pamplona-Zaragoza, N-121, Km 17,5 (cruce Artajona) ";"TIEBAS-MURUARTE DE RETA";"Muruarte De Reta";"Navarra";"31398";"948360233";"ecofuego@ecofuego.net";;;"2.2";"Explotación de la madera";;
"8";"B31911530";"15-A-081-00000242";"CANTERAS LEGATETXIPI SL";"CANTERA ""LEGATE-TXIKI""";"LEGATE ";"BAZTAN";"Lekaroz";"Navarra";"31795";;;;;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"9";"B31002249";"15-A-081-00000082";"MANUFACTURAS DE PRODUCTOS MINERALES SL";"TUNEL DE LIZARRAGA";"X";"IZAGAONDOA ";"Lizarraga de Izagaondoa";"Navarra";"31421";;;;;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"10";"A31033871";"15-A-081-00000034";"YESOS PAMPLONA SA";"LOLITA";"LA CUETA";"MAÑERU";"Mañeru";"Navarra";"31130";;;;;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
