"id";"FECHA";"DESDE";"HASTA";"LOCALIDAD";"GRUPO";"DIRECCION";"FARMACIA";"Cod_FARMACIA";"TELEFONO"
"1";"27/11/2023";"10";"21";"Artica / Artika";"Pamplona y comarca";"C/ Madres de la Plaza de Mayo, 32. Nuevo Artica";"Aguado Menendez, Carmen";"F00739";"948 307609"
"2";"27/11/2023";"9";"21";"Estella-Lizarra";"Estella";"C/ Baja Navarra, 7";"Goyache Sainz de Vicuña, Maria del Mar";"F00026";"948 550231"
"3";"27/11/2023";"9";"22";"Ezcároz / Ezkaroze";"Isaba - Salazar";"C/ Rochapea, 2";"Vicente Collado, Maria Jose";"F00287";"948 890395"
"4";"27/11/2023";"10";"21";"Mutilva / Mutiloa";"Pamplona y comarca";"Pl Valle de Aranguren, 15bajoC";"Lozano Bernal, Javier Jose";"F00831";"644798814"
"5";"27/11/2023";"10";"21";"Pamplona / Iruña";"Pamplona y comarca";"Avda Bayona, 37";"Arriazu Aranceta, Berta";"F00618";"948 252401"
"6";"27/11/2023";"10";"21";"Pamplona / Iruña";"Pamplona y comarca";"Avda Villava, 51A. Chantrea";"Estebanez Santesteban, Sara";"F00145";"948 126586"
"7";"27/11/2023";"10";"21";"Pamplona / Iruña";"Pamplona y comarca";"C/ Concejo de Olaz, 14. Mendillorri - Fase 2";"Fernandez de Arcaya Gainza, Mª Nieves";"F00455";"948 163215"
"8";"27/11/2023";"10";"21";"Pamplona / Iruña";"Pamplona y comarca";"C/ Tudela, 1. Frente al Corte Inglés";"Lorca Mico, Soledad";"F00160";"948 229912"
"9";"27/11/2023";"10";"21";"Pamplona / Iruña";"Pamplona y comarca";"C/ Irunlarrea, 19. Próx. Virgen del Camino. Mendebaldea";"Menendez Garcia, Graciela";"F00550";"948 198191"
"10";"27/11/2023";"10";"21";"Pamplona / Iruña";"Pamplona y comarca";"Avda Pío XII, 9";"Muñoz Aramburu, Miren Arantza";"F00141";"948 252895"
"11";"27/11/2023";"10";"21";"Tudela";"Tudela Este - Tudela Oeste";"Pº Capuchinas, 33Bajo. Frente a Mercadona.";"Morte Casado, Leticia Alba";"F00761";"948415298"
"12";"27/11/2023";"21";"10";"Artica / Artika";"Pamplona y comarca";"C/ Madres de la Plaza de Mayo, 32. Nuevo Artica";"Aguado Menendez, Carmen";"F00739";"948 307609"
"13";"27/11/2023";"21";"9";"Estella-Lizarra";"Estella";"C/ Mayor, 20";"Fernandez Alvarez, Soliña";"F00060";"948 546920"
"14";"27/11/2023";"21";"10";"Pamplona / Iruña";"Pamplona y comarca";"C/ Yanguas y Miranda, 17";"Marfil Garcia, Alberto";"F00205";"948 245030"
"15";"27/11/2023";"21";"10";"Pamplona / Iruña";"Pamplona y comarca";"C/ Irunlarrea, 19. Próx. Virgen del Camino. Mendebaldea";"Menendez Garcia, Graciela";"F00550";"948 198191"
"16";"27/11/2023";"21";"10";"Sarriguren";"Pamplona y comarca";"Avda Erripagaña, 24. Ripagaina. Rotonda LIDL y ALDI";"Rubio Echarte, Santiago";"F00731";"948787058"
"17";"27/11/2023";"21";"10";"Tudela";"Tudela Este - Tudela Oeste";"C/ Díaz Bravo, 7. Esq. C/ Almazara";"Arana Castelo, Elsa";"F00483";"948 410783"
"18";"27/11/2023";"9";"9";"Altsasu / Alsasua";"Altsasu/Alsasua";"C/ Alzania, 1";"Luis de Redin Subira, Maria Rosa";"F00159";"948 562380"
"19";"27/11/2023";"9";"9";"Ancín / Antzin";"Comarca de Estella";"Cra. Vitoria, 20";"Alen Fernandez, Ruben";"F00246";"948 534102"
"20";"27/11/2023";"9";"9";"Aoiz / Agoitz";"Aoiz - Auritz/Burguete";"C/ Domingo Elizondo, 4";"Lera Toston, Maria Yolanda";"F00096";"948 336525"
"21";"27/11/2023";"9";"9";"Azagra";"San Adrián";"Pl de la Constitucion, 1";"Luri Dendarieta, Mª Luisa";"F00575";"948 692150"
