"id";"COD. INSCRIPCION";"NOMBRE";"MODALIDAD";"CATEGORIA";"DIRECCION";"LOCALIDAD";"MUNICIPIO";"ZONA";"Especialidad";"FECHA DE INSCRIPCION"
"1";"ur000158";"101";"Restaurantes";"Sin definir";"Guipuzcoa 27";"BERRIOZAR";"BERRIOZAR";"Cuenca de Pamplona";"Casera o regional";"04/05/1973 0:00:00"
"2";"UR000924";"A Queimada";"Restaurantes";"Segunda/2 Tenedores";"La Barrena, parcela 13 3 ";"TUDELA";"TUDELA";"La Ribera";"Casera o regional";"05/06/2007 0:00:00"
"3";"UR001069";"Acedo";"Restaurantes";"Segunda/2 Tenedores";"Los Arcos 0";"ACEDO";"MENDAZA";"Zona Media";"Casera o regional";"02/12/2014 0:00:00"
"4";"UR000389";"Aguirre";"Restaurantes";"Sin definir";"Irún, Km. 7 5 ";"ORICÁIN";"EZCABARTE";"Cuenca de Pamplona";"Casera o regional";"31/07/1984 0:00:00"
"5";"UR111010";"Aitona";"Restaurantes";"Sin definir";"San Lorenzo 2";"GERENDIAIN";"ULTZAMA";"Pirineos";"Casera o regional";"15/07/2011 0:00:00"
"6";"UR000627";"Aizberri";"Restaurantes";"Sin definir";"Pol. Berriainz, nave 65 0 ";"BERRIOZAR";"BERRIOZAR";"Cuenca de Pamplona";"Casera o regional";"12/08/1990 0:00:00"
"7";"UR000763";"Akelarre";"Restaurantes";"Sin definir";"Tomás Zumalacarregui 7";"ALTSASU/ALSASUA";"ALTSASU / ALSASUA";"Pirineos";"Casera o regional";"18/09/1996 0:00:00"
"8";"ur000844";"Alai-Taberna";"Restaurantes";"Sin definir";"Mayor 0 S/N";"EULATE";"EULATE";"Pirineos";"Casera o regional";"19/04/2000 0:00:00"
"9";"UR001098";"Alhama";"Restaurantes";"Primera/3 tenedores";"N-113, Pamplona-Madrid 0 ";"CINTRUÉNIGO";"CINTRUÉNIGO";"La Ribera";"Casera o regional, Innovadora";"28/07/2015 0:00:00"
"10";"UR000011";"Alhambra";"Restaurantes";"Lujo/ 4 Tenedores";"Bergamín 7";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"16/06/1975 0:00:00"
