"Fuel Type Code";"Station Name";"Street Address";"Intersection Directions";"City";"State";"ZIP";"Plus4";"Station Phone";"Status Code";"Expected Date";"Groups With Access Code";"Access Days Time";"Cards Accepted";"EV Level1 EVSE Num";"EV Level2 EVSE Num";"EV DC Fast Count";"EV Other Info";"EV Network";"EV Network Web";"Geocode Status";"Latitude";"Longitude";"Date Last Confirmed";"ID";"Updated At";"Owner Type Code";"Federal Agency ID";"Federal Agency Name";"Open Date";"EV Connector Types"
"ELEC";"Nissan of Staten Island";"1976 Hylan Blvd";;"Staten Island";"NY";"10306";;"718-447-3800";"E";;"Public";"Dealership business hours";;;"1";;;"Non-Networked";;"200-9";"40.581432";"-74.097694";"06/09/2020";"99500";"2021-03-11 23:22:17";"P";;;"06/28/2018";"J1772"
"ELEC";"Cosimo's on Union - Tesla Supercharger";"1217 NY-300";;"Newburgh";"NY";"12550";;"877-798-3752";"E";;"Public";"24 hours daily";;;;"6";;"Tesla";"https://www.tesla.com/supercharger";"200-9";"41.499616";"-74.071324";"07/01/2023";"122261";"2023-07-14 19:41:28";"P";;;"03/01/2019";"TESLA"
"ELEC";"Queensboro Hall";"80-25 126th St";;"Queens";"NY";"11415";;"866-816-7584";"E";;"Public";;;;"4";;;"EV Connect";"http://evconnect.com/";"GPS";"40.714376";"-73.826095";"11/26/2023";"123134";"2023-11-26 01:04:13";;;;"04/01/2019";"J1772"
"ELEC";"Amtrak - Niagara Falls";"825 Depot Ave W";;"Niagara Falls";"NY";"14305";;"716-285-0242";"E";;"Public";"24 hours daily";;;"2";;;"Non-Networked";;"GPS";"43.110202";"-79.05543";"03/07/2022";"147094";"2023-02-14 15:54:11";"P";;;"10/01/2019";"J1772"
"ELEC";"Boiler Sidewalk";"2157 Main St Buffalo";;"Buffalo";"NY";"14214";;"866-816-7584";"E";;"Public";;;;"2";;;"EV Connect";"http://evconnect.com/";"GPS";"42.928012";"-78.847579";"11/26/2023";"202632";"2023-11-26 01:04:38";;;;"12/13/2021";"J1772"
"ELEC";"WW BMW WWBMW 2";"125 NY-59";;"Nanuet";"NY";"10954";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"41.107337";"-74.037243";"11/26/2023";"224589";"2023-11-26 00:22:03";;;;"07/29/2022";"J1772"
"ELEC";"EVolve NY Preble";"7073 Route 281";;"Tully";"NY";"13159";;"833-632-2778";"E";;"Public";"24 hours daily";;;;"4";;"Electrify America";"https://www.electrifyamerica.com/";"GPS";"42.74797";"-76.13435";"11/26/2023";"254328";"2023-11-26 01:01:23";;;;"02/21/2023";"CHADEMO J1772COMBO"
"ELEC";"1065 Elton St";"1065 Elton St";;"Brooklyn";"NY";"11239";;"888-356-8911";"E";;"Public";"24 hours daily";;;"4";;;"FLO";"https://flo.ca/";"GPS";"40.657441";"-73.874619";"11/26/2023";"196329";"2023-11-26 01:12:13";;;;"09/24/2021";"J1772"
"ELEC";"DeNooyer Chevrolet";"127 Wolf Rd";;"Albany";"NY";"12205";;;"E";;"Public - Call ahead";"Dealership business hours: 518-458-7700";;;;"1";;"Non-Networked";;"GPS";"42.717867";"-73.806317";"03/07/2022";"117741";"2023-02-15 22:45:41";"P";;;"01/01/2019";"J1772COMBO"
"ELEC";"East West Tower Garage - Tesla Destination";"142-38 37th Ave";;"Flushing";"NY";"11354";;"718-228-4324  877-798-3752";"E";;"Public";;;;"4";;;"Tesla Destination";"https://www.tesla.com/destination-charging";"200-8";"40.762331";"-73.825583";"10/06/2022";"150531";"2023-01-18 15:15:20";"P";;;"08/28/2019";"TESLA"
"ELEC";"Destination Nissan";"770 Central Ave";;"Albany";"NY";"12206";;"518-438-8461";"E";;"Public - Call ahead";"Dealership business hours";;;"1";;;"Non-Networked";;"200-9";"42.676971";"-73.787334";"06/09/2020";"44317";"2023-02-15 22:45:41";"P";;;"11/30/2011";"J1772"
"ELEC";"Phoenix Investors";"1701 North St";;"Endicott";"NY";"13760";;"866-816-7584";"E";;"Public";;;;"4";;;"EV Connect";"http://evconnect.com/";"GPS";"42.104913";"-76.043789";"11/26/2023";"198013";"2023-11-26 01:04:18";;;;"10/19/2021";"J1772"
"ELEC";"Collision Masters";"290 South Park Ave";;"Buffalo";"NY";"14204";;"866-816-7584";"E";;"Public";;;;"4";;;"EV Connect";"http://evconnect.com/";"GPS";"42.872706";"-78.868785";"11/26/2023";"230978";"2023-11-26 01:04:46";;;;"09/30/2022";"J1772"
"ELEC";"Lexington-Grove West Garage";"100 Main St";;"White Plains";"NY";"10601";;"914-422-1232";"E";;"Public";"24 hours daily";;;"2";;;"Non-Networked";;"200-9";"41.031464";"-73.769946";"06/14/2022";"165161";"2023-02-14 15:54:11";"SG";;;"08/11/2020";"J1772"
"ELEC";"MAIN 2ND FLOOR 2 NGW";"1133 Route 414 Parking Garage";;"Waterloo";"NY";"13165";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"42.969166";"-76.845266";"11/26/2023";"180149";"2023-11-26 00:13:08";;;;"01/27/2021";"J1772"
"ELEC";"VASSAR COLLEGE SOUTH LOT 2";"112130 Raymond Ave";;"Arlington";"NY";"12603";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"41.681771";"-73.894668";"11/26/2023";"155288";"2023-11-26 00:29:57";;;;"04/10/2020";"J1772"
"ELEC";"Liland Radiator";"220 E 2nd St";;"East Syracuse";"NY";"13057";;"888-363-7662";"E";;"Public - Credit card at all times";"24 hours daily";"A D Debit M V";;"2";;;"Non-Networked";;"GPS";"43.062343";"-76.065737";"09/14/2022";"227075";"2023-02-14 15:54:11";"P";;;"08/26/2022";"J1772"
"ELEC";"St. Mary's of the Assumption";"47 Syracuse St";;"Baldwinsville";"NY";"13027";;"844-623-1001";"E";;"Public";"24 hours daily";"A CREDIT D M V";;"6";;;"LIVINGSTON";"https://www.solution.energy";"GPS";"43.15318";"-76.32983";"07/12/2022";"223277";"2023-02-14 15:54:11";"P";;;"03/16/2022";"J1772"
"ELEC";"TONAWANDA YPR GOLF DOME 2";"175 Brompton Rd";;"Tonawanda";"NY";"14150";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"43.002537";"-78.84062";"11/26/2023";"174770";"2023-11-26 00:26:42";;;;"01/27/2021";"J1772"
"ELEC";"BURNS MGT OXFORD 5";"6203 Johnston Rd";;"Albany";"NY";"12203";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"42.685246";"-73.870747";"11/26/2023";"173863";"2023-11-26 00:19:01";;;;"01/27/2021";"J1772"
"ELEC";"Marriott Melville Long Island - Tesla Supercharger";"1350  Walt Whitman Road";;"Melville";"NY";"11747";;"877-798-3752";"E";;"Public";"24 hours daily";"A D Debit M V";;;"12";;"Tesla";"https://www.tesla.com/supercharger";"GPS";"40.784718";"-73.420924";"07/01/2023";"218663";"2023-07-14 19:41:28";"P";;;"05/18/2022";"TESLA"
"ELEC";"HUDSON PRESERVE BLDG 12 #10";"1002 Beryl Way";;"Watervliet";"NY";"12189";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"42.73136";"-73.72597";"11/26/2023";"144375";"2023-11-26 00:24:31";;;;"09/03/2019";"J1772"
"ELEC";"PJ VILLAGE BARNUM PARKING";"209 Barnum Ave";;"Port Jefferson";"NY";"11777";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"40.944218";"-73.070775";"11/26/2023";"185740";"2023-11-26 00:36:35";;;;"03/09/2021";"J1772"
"ELEC";"LIVEWELL GROUP 301 ELKIN CT";"301 Elkin Ct";;"Delmar";"NY";"12054";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"42.607437";"-73.85094";"11/26/2023";"165396";"2023-11-26 00:31:52";;;;"08/22/2020";"J1772"
"ELEC";"SUNY ADIRONDACK SUNY ACC 1.5";"640 Bay Rd";;"Queensbury";"NY";"12804";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"43.355152";"-73.65409";"11/26/2023";"181423";"2023-11-26 00:32:56";;;;"01/27/2021";"J1772"
"ELEC";"EVolve NY Syracuse South";"415 E Brighton Ave";;"Syracuse";"NY";"13210";;"833-632-2778";"E";;"Public";"24 hours daily";;;;"4";;"Electrify America";"https://www.electrifyamerica.com/";"GPS";"43.01672";"-76.13654";"11/26/2023";"193813";"2023-11-26 01:00:30";;;;"08/12/2021";"CHADEMO J1772COMBO"
"ELEC";"Enterprise Parking 219 E 69th St - Tesla Destination";"219 E 69th St";;"New York";"NY";"10065";;"212)-564-3199  877-798-3752";"E";;"Public";;;;"3";;;"Tesla Destination";"https://www.tesla.com/destination-charging";"200-9";"40.767342";"-73.960835";"10/06/2022";"168757";"2023-01-18 15:15:20";"P";;;"12/09/2016";"J1772 TESLA"
